cluster,KO,Description
NVE14388,K01062,PLA2G7; platelet-activating factor acetylhydrolase [EC:3.1.1.47]
NVE21778,K16794,PAFAH1B1; platelet-activating factor acetylhydrolase IB subunit alpha
NVE7063,K09407,FOXN; forkhead box protein N
NVE4247,K11138,RIF1; telomere-associated protein RIF1
NVE7258,K13963,SERPINB; serpin B
NVE20526,,
NVE21555,,
NVE5565,,
NVE19895,,
NVE11157,,
NVE14285,,
NVE17874,,
NVE7122,K09592,EGLN; hypoxia-inducible factor prolyl hydroxylase [EC:1.14.11.29]
NVE7533,,
NVE6410,,
NVE18804,,
NVE10131,K01283,ACE; peptidyl-dipeptidase A [EC:3.4.15.1]
NVE599,,
NVE24176,,
NVE2382,K16546,FGFR10P; FGFR1 oncogene partner
NVE4105,,
NVE12927,,
NVE16833,,
NVE12341,,
NVE6109,,
NVE3617,,
NVE10697,,
NVE227,K14003,PREB; prolactin regulatory element-binding protein
NVE13813,,
NVE23341,K17452,AEBP2; zinc finger protein AEBP2
NVE23976,K02257,COX10; heme o synthase [EC:2.5.1.141]
NVE18299,,
NVE8325,,
NVE7206,,
NVE22426,K14841,NSA1; ribosome biogenesis protein NSA1
NVE3784,,
NVE16854,K00306,PIPOX; sarcosine oxidase / L-pipecolate oxidase [EC:1.5.3.1 1.5.3.7]
NVE9579,,
NVE12675,K01110,"PTEN; phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN [EC:3.1.3.16 3.1.3.48 3.1.3.67]"
NVE10172,K13697,ABHD2; abhydrolase domain-containing protein 2
NVE17291,,
NVE2365,K00626,E2.3.1.9; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
NVE21978,,
NVE4006,K19491,DMRT4_5; doublesex- and mab-3-related transcription factor 4/5
NVE8037,K06125,COQ2; 4-hydroxybenzoate polyprenyltransferase [EC:2.5.1.39]
NVE2223,K00544,BHMT; betaine-homocysteine S-methyltransferase [EC:2.1.1.5]
NVE26020,K13676,"GXYLT; UDP-xylose:glucoside alpha-1,3-xylosyltransferase [EC:2.4.2.-]"
NVE16368,,
NVE23331,K18464,RTSC; WASH complex subunit strumpellin
NVE26204,K17408,DAP3; small subunit ribosomal protein S29
NVE387,,
NVE24702,K03644,lipA; lipoyl synthase [EC:2.8.1.8]
NVE954,K05105,EPHA4; Eph receptor A4 [EC:2.7.10.1]
NVE7641,K00254,DHODH; dihydroorotate dehydrogenase [EC:1.3.5.2]
NVE13404,,
NVE17127,,
NVE786,,
NVE7204,K08657,"TASP1; taspase, threonine aspartase, 1 [EC:3.4.25.-]"
NVE18432,,
NVE12451,,
NVE20334,,
NVE4549,,
NVE18338,K11160,DGAT2; diacylglycerol O-acyltransferase 2 [EC:2.3.1.20 2.3.1.75]
NVE12028,K09288,CCDC6; coiled-coil domain-containing protein 6
NVE18946,K00734,B3GALT6; galactosylxylosylprotein 3-beta-galactosyltransferase [EC:2.4.1.134]
NVE25958,,
NVE15205,,
NVE6625,,
NVE11634,,
NVE2020,K14012,SHP1; UBX domain-containing protein 1
NVE13940,K09398,FOXE; forkhead box protein E
NVE21809,,
NVE10825,,
NVE14827,K15277,"SLC35B3; solute carrier family 35 (adenosine 3'-phospho 5'-phosphosulfate transporter), member B3"
NVE12021,,
NVE2963,K16896,TPCN1; two pore calcium channel protein 1
NVE26130,K01955,carB; carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]
NVE19529,K06047,TTL; tubulin---tyrosine ligase [EC:6.3.2.25]
NVE17621,,
NVE5395,K08183,"SLC16A6; MFS transporter, MCP family, solute carrier family 16 (monocarboxylic acid transporters), member 6"
NVE8446,,
NVE18330,,
NVE1941,,
NVE13767,K16475,LRRCC1; leucine-rich repeat and coiled-coil domain-containing protein 1
NVE22161,,
NVE6786,,
NVE9287,K17653,"TFB2M; dimethyladenosine transferase 2, mitochondrial [EC:2.1.1.-]"
NVE9608,K16477,NINL; ninein-like protein
NVE15472,,
NVE23028,K15789,TDH; threonine 3-dehydrogenase [EC:1.1.1.103]
NVE441,K11504,CENPL; centromere protein L
NVE21539,K21970,NSUN4; 5-methylcytosine rRNA methyltransferase NSUN4 [EC:2.1.1.-]
NVE7339,K01107,INPP1; inositol polyphosphate 1-phosphatase [EC:3.1.3.57]
NVE20779,,
NVE15694,K12419,FADS6; fatty acid desaturase 6 [EC:1.14.19.-]
NVE5449,K04209,"NPYNR; neuropeptide Y receptor, invertebrate"
NVE722,K09592,EGLN; hypoxia-inducible factor prolyl hydroxylase [EC:1.14.11.29]
NVE18288,,
NVE10444,K09370,ISL1; insulin gene enhancer protein ISL-1
NVE9082,K02541,MCM3; DNA replication licensing factor MCM3 [EC:3.6.4.12]
NVE15611,K18624,MAEA; macrophage erythroblast attacher
NVE11680,,
NVE19971,K08187,"SLC16A10; MFS transporter, MCP family, solute carrier family 16 (monocarboxylic acid transporters), member 10"
NVE14400,K07440,CYP46A1; cholesterol 24-hydroxylase [EC:1.14.14.25]
NVE19985,K20367,ERGIC3; endoplasmic reticulum-Golgi intermediate compartment protein 3
NVE19084,K18660,ACSF3; malonyl-CoA/methylmalonyl-CoA synthetase [EC:6.2.1.-]
NVE15059,,
NVE6444,K14613,"SLC46A1; MFS transporter, PCFT/HCP family, solute carrier family 46 (folate transporter), member 1"
NVE872,,
NVE13240,,
NVE13911,K05884,
NVE10010,,
NVE18254,K19862,NCK2; NCK adaptor protein 2
NVE24830,K09637,TMPRSS6; transmembrane protease serine 6 [EC:3.4.21.-]
NVE22260,,
NVE20702,,
NVE132,K04266,
NVE18275,K18201,AGPHD1; hydroxylysine kinase [EC:2.7.1.81]
NVE1109,K20238,E2.1.1.317; sphingolipid C9-methyltransferase [EC:2.1.1.317]
NVE11588,K00600,glyA; glycine hydroxymethyltransferase [EC:2.1.2.1]
NVE21040,,
NVE13099,,
NVE16272,,
NVE3041,K09595,HM13; minor histocompatibility antigen H13 [EC:3.4.23.-]
NVE1706,K07374,TUBA; tubulin alpha
NVE18155,,
NVE19748,K08546,NR2E3; nuclear receptor subfamily 2 group E member 3
NVE19199,,
NVE13539,,
NVE2605,,
NVE1330,K02148,ATPeV1C; V-type H+-transporting ATPase subunit C
NVE25588,K00512,CYP17A; steroid 17alpha-monooxygenase / 17alpha-hydroxyprogesterone deacetylase [EC:1.14.14.19 1.14.14.32]
NVE22194,K02449,CDK10; cyclin-dependent kinase 10 [EC:2.7.11.22]
NVE20807,K12831,SF3B4; splicing factor 3B subunit 4
NVE16888,K11108,RCL1; RNA 3'-terminal phosphate cyclase-like protein
NVE8651,K10408,"DNAH; dynein heavy chain, axonemal"
NVE13181,K04459,DUSP; dual specificity MAP kinase phosphatase [EC:3.1.3.16 3.1.3.48]
NVE19523,K15791,DHKTD1; probable 2-oxoglutarate dehydrogenase E1 component DHKTD1 [EC:1.2.4.2]
NVE6068,,
NVE3152,,
NVE22437,,
NVE19876,,
NVE6048,,
NVE23849,,
NVE19021,K03857,"PIGA; phosphatidylinositol glycan, class A [EC:2.4.1.198]"
NVE302,,
NVE514,K10755,RFC2_4; replication factor C subunit 2/4
NVE4389,,
NVE6394,K05692,ACTB_G1; actin beta/gamma 1
NVE4624,K15192,BTAF1; TATA-binding protein-associated factor [EC:3.6.4.-]
NVE9041,,
NVE1086,K01025,SULT1; sulfotransferase [EC:2.8.2.-]
NVE12131,K04231,GALR2; galanin receptor 2
NVE13270,,
NVE12822,,
NVE13658,K08770,UBC; ubiquitin C
NVE8867,K00731,C1GALT1; glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase [EC:2.4.1.122]
NVE19693,K01310,CTRB; chymotrypsin [EC:3.4.21.1]
NVE6776,K16452,CCDC92; coiled-coil domain-containing protein 92
NVE17388,K21396,"WHT; ATP-binding cassette, subfamily G (WHITE), eye pigment precursor transporter"
NVE16768,K00605,gcvT; aminomethyltransferase [EC:2.1.2.10]
NVE3442,K00512,CYP17A; steroid 17alpha-monooxygenase / 17alpha-hydroxyprogesterone deacetylase [EC:1.14.14.19 1.14.14.32]
NVE2319,K00715,B3GALT4; ganglioside galactosyltransferase [EC:2.4.1.62]
NVE25013,K10869,RAD51L1; RAD51-like protein 1
NVE15206,,
NVE9055,,
NVE15871,K04223,TACR2; tachykinin receptor 2
NVE19944,,
NVE9988,,
NVE23055,K00228,CPOX; coproporphyrinogen III oxidase [EC:1.3.3.3]
NVE19400,K11276,NPM1; nucleophosmin 1
NVE1248,,
NVE19533,,
NVE4920,,
NVE13616,K15044,AGFG1; Arf-GAP domain and FG repeats-containing protein 1
NVE24479,K01020,CHST3; chondroitin 6-sulfotransferase 3 [EC:2.8.2.17]
NVE3654,,
NVE15247,K02583,NGFR; nerve growth factor receptor (TNFR superfamily member 16)
NVE6434,,
NVE23004,,
NVE14297,,
NVE9995,K00505,TYR; tyrosinase [EC:1.14.18.1]
NVE21057,K18123,HOGA1; 4-hydroxy-2-oxoglutarate aldolase [EC:4.1.3.16]
NVE16307,K05768,GSN; gelsolin
NVE9490,K17505,PPM1K; protein phosphatase 1K [EC:3.1.3.16]
NVE24522,K13699,ABHD5; abhydrolase domain-containing protein 5 [EC:2.3.1.51]
NVE13112,,
NVE1784,,
NVE9060,K07998,MMP19; matrix metalloproteinase-19 (RASI) [EC:3.4.24.-]
NVE24311,K01302,CPQ; carboxypeptidase Q [EC:3.4.17.-]
NVE1925,K15116,"SLC25A33_36; solute carrier family 25, member 33/36"
NVE8391,,
NVE20079,K11517,HAO; (S)-2-hydroxy-acid oxidase [EC:1.1.3.15]
NVE19584,K01476,E3.5.3.1; arginase [EC:3.5.3.1]
NVE24169,K10185,TBX20; T-box protein 20
NVE6860,,
NVE17187,K00965,galT; UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12]
NVE1608,,
NVE2510,K08375,NPFFR2; neuropeptide FF receptor 2
NVE24520,K01915,glnA; glutamine synthetase [EC:6.3.1.2]
NVE14920,,
NVE12985,K21919,KCTD9; BTB/POZ domain-containing protein KCTD9
NVE17694,K10765,ALKBH1; alkylated DNA repair protein alkB homolog 1 [EC:1.14.11.- 4.2.99.18]
NVE8484,K05051,TAAR; trace amine associated receptor
NVE21844,K19934,SDF4; calcium-binding protein
NVE20441,K13115,CCDC130; coiled-coil domain-containing protein 130
NVE5220,,
NVE22007,K04809,CHRNA7; nicotinic acetylcholine receptor alpha-7
NVE21404,K14445,"SLC13A2_3_5; solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2/3/5"
NVE20542,,
NVE13877,K03754,EIF2B2; translation initiation factor eIF-2B subunit beta
NVE24508,K01974,RTCA; RNA 3'-terminal phosphate cyclase (ATP) [EC:6.5.1.4]
NVE20800,,
NVE12242,,
NVE17280,,
NVE13954,,
NVE24914,K05768,GSN; gelsolin
NVE23718,,
NVE23205,K04515,CAMK2; calcium/calmodulin-dependent protein kinase (CaM kinase) II [EC:2.7.11.17]
NVE19937,,
NVE3766,,
NVE9279,K09256,NFKBIL1; NF-kappa-B inhibitor-like protein 1
NVE25224,,
NVE21599,K20123,PACSIN; protein kinase C and casein kinase substrate in neurons protein
NVE12450,,
NVE217,,
NVE5331,K09381,PAX3_7; paired box protein 3/7
NVE15826,,
NVE11159,K10839,RAD23; UV excision repair protein RAD23
NVE13412,K04135,ADRA1A; adrenergic receptor alpha-1A
NVE25513,,
NVE9047,K04142,ADRB2; adrenergic receptor beta-2
NVE4030,K00006,GPD1; glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]
NVE7906,K05673,"ABCC4; ATP-binding cassette, subfamily C (CFTR/MRP), member 4"
NVE22958,K18666,ASCC1; activating signal cointegrator complex subunit 1
NVE8916,,
NVE6880,K02988,RP-S5; small subunit ribosomal protein S5
NVE9758,,
NVE12875,K15502,ANKRD28; serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A
NVE19072,,
NVE10870,,
NVE2389,K08545,NR2E1; nuclear receptor subfamily 2 group E member 1
NVE16103,,
NVE18628,K10133,TP53I3; tumor protein p53-inducible protein 3 [EC:1.-.-.-]
NVE26211,K05678,"ABCD4; ATP-binding cassette, subfamily D (ALD), member 4"
NVE6155,,
NVE3359,,
NVE16018,,
NVE3445,K01623,"ALDO; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]"
NVE2024,,
NVE12002,K12026,TRIM56; tripartite motif-containing protein 56 [EC:2.3.2.27]
NVE4312,,
NVE2129,,
NVE23670,K14457,MOGAT2; 2-acylglycerol O-acyltransferase 2 [EC:2.3.1.22]
NVE10623,K17560,URI1; unconventional prefoldin RPB5 interactor 1
NVE14027,K08421,GPR84; G protein-coupled receptor 84
NVE8531,K00543,ASMT; acetylserotonin N-methyltransferase [EC:2.1.1.4]
NVE16463,,
NVE2975,K04266,
NVE20138,,
NVE819,K14824,ERB1; ribosome biogenesis protein ERB1
NVE17752,K02930,RP-L4e; large subunit ribosomal protein L4e
NVE25680,,
NVE10762,K00281,GLDC; glycine dehydrogenase [EC:1.4.4.2]
NVE3329,K19676,IFT172; intraflagellar transport protein 172
NVE6428,,
NVE23671,K10755,RFC2_4; replication factor C subunit 2/4
NVE2451,,
NVE25210,,
NVE11416,K00683,QPCT; glutaminyl-peptide cyclotransferase [EC:2.3.2.5]
NVE5515,K15045,RSAD2; radical S-adenosyl methionine domain-containing protein 2
NVE561,K15630,VTC2; GDP-D-glucose phosphorylase [EC:2.7.7.78]
NVE18449,,
NVE9430,K00022,HADH; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]
NVE7849,K15759,IMPAD1; inositol monophosphatase 3 [EC:3.1.3.25 3.1.3.7]
NVE22522,K08490,STX5; syntaxin 5
NVE18585,K05673,"ABCC4; ATP-binding cassette, subfamily C (CFTR/MRP), member 4"
NVE1868,,
NVE3801,,
NVE17412,,
NVE20803,,
NVE21320,,
NVE17697,,
NVE24755,,
NVE17746,K00408,"WNT4; wingless-type MMTV integration site family, member 4"
NVE9126,,
NVE8998,K05673,"ABCC4; ATP-binding cassette, subfamily C (CFTR/MRP), member 4"
NVE10645,,
NVE19819,,
NVE5316,,
NVE26186,,
NVE26021,K20030,ZDHHC5_8; palmitoyltransferase ZDHHC5/8 [EC:2.3.1.225]
NVE12908,K00734,B3GALT6; galactosylxylosylprotein 3-beta-galactosyltransferase [EC:2.4.1.134]
NVE1836,,
NVE18047,,
NVE5729,,
NVE5630,,
NVE16818,K17843,"KHDRBS2; KH domain-containing, RNA-binding, signal transduction-associated protein 2"
NVE6178,,
NVE21031,K00549,metE; 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]
NVE2719,,
NVE12805,K00008,SORD; L-iditol 2-dehydrogenase [EC:1.1.1.14]
NVE22151,K06560,"MRC; mannose receptor, C type"
NVE112,K08963,mtnA; methylthioribose-1-phosphate isomerase [EC:5.3.1.23]
NVE5855,,
NVE10842,,
NVE23136,,
NVE9159,K03841,"FBP; fructose-1,6-bisphosphatase I [EC:3.1.3.11]"
NVE24565,,
NVE20017,K07809,HS3ST3; [heparan sulfate]-glucosamine 3-sulfotransferase 3 [EC:2.8.2.30]
NVE17598,,
NVE25328,,
NVE5278,,
NVE7350,,
NVE10434,,
NVE8440,,
NVE8507,,
NVE19615,,
NVE23035,,
NVE17212,K11247,SH3GL; endophilin-A
NVE16819,K08378,GPR103; G protein-coupled receptor 103
NVE3130,,
NVE8280,K08957,"CSNK1A; casein kinase 1, alpha [EC:2.7.11.1]"
NVE15487,,
NVE13563,,
NVE6094,K14440,SMARCAL1; SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1 [EC:3.6.4.12]
NVE15453,K09115,MNT; MAX-binding protein
NVE24695,,
NVE9966,,
NVE12027,K09273,UBTF; upstream-binding transcription factor
NVE2494,K13108,SNIP1; smad nuclear-interacting protein 1
NVE8508,,
NVE3144,,
NVE25500,,
NVE8629,,
NVE15135,,
NVE6075,,
NVE8413,K01968,E6.4.1.4A; 3-methylcrotonyl-CoA carboxylase alpha subunit [EC:6.4.1.4]
NVE2809,,
NVE24355,,
NVE5404,K10394,KIF3A; kinesin family member 3A
NVE8307,,
NVE17018,,
NVE6310,K04362,FGFR1; fibroblast growth factor receptor 1 [EC:2.7.10.1]
NVE19498,K14801,TSR4; pre-rRNA-processing protein TSR4
NVE1723,K09519,DNAJB13; DnaJ homolog subfamily B member 13
NVE22739,,
NVE350,K01307,GGH; gamma-glutamyl hydrolase [EC:3.4.19.9]
NVE3691,K10294,FBXO8; F-box protein 8
NVE25097,K08744,CRLS; cardiolipin synthase (CMP-forming) [EC:2.7.8.41]
NVE8424,,
NVE14013,,
NVE3512,K00774,PARP16; poly [ADP-ribose] polymerase 16 [EC:2.4.2.30]
NVE558,K15688,MUL1; E3 ubiquitin-protein ligase MUL1 [EC:2.3.2.27]
NVE13867,K10584,UBE2U; ubiquitin-conjugating enzyme E2 U [EC:2.3.2.23]
NVE14373,,
NVE3426,,
NVE11576,,
NVE19176,,
NVE21298,K20064,GRB10; growth factor receptor-bound protein 10
NVE23423,K18932,ZDHHC; palmitoyltransferase [EC:2.3.1.225]
NVE8580,K13145,INTS8; integrator complex subunit 8
NVE24790,,
NVE903,,
NVE9232,K01374,CTSO; cathepsin O [EC:3.4.22.42]
NVE22885,,
NVE22581,K19985,EXOC6; exocyst complex component 6
NVE23819,K04536,GNB1; guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1
NVE2371,,
NVE625,,
NVE4073,,
NVE13342,K04314,PRLHR; prolactin releasing hormone receptor
NVE2821,,
NVE17370,,
NVE22907,,
NVE21919,,
NVE3151,,
NVE15603,K04150,HRH2; histamine receptor H2
NVE7591,,
NVE7123,,
NVE4996,,
NVE23193,,
NVE25043,,
NVE2816,,
NVE3131,K16185,RRAGA_B; Ras-related GTP-binding protein A/B
NVE5152,,
NVE3025,,
NVE2141,,
NVE20979,K15263,LYER; cell growth-regulating nucleolar protein
NVE22025,K00477,PHYH; phytanoyl-CoA hydroxylase [EC:1.14.11.18]
NVE13589,,
NVE6013,K02330,POLB; DNA polymerase beta [EC:2.7.7.7 4.2.99.-]
NVE6330,,
NVE20101,K02513,HS2ST1; heparan sulfate 2-O-sulfotransferase HS2ST1 [EC:2.8.2.-]
NVE21055,K08957,"CSNK1A; casein kinase 1, alpha [EC:2.7.11.1]"
NVE944,K04266,
NVE18327,K04150,HRH2; histamine receptor H2
NVE53,,
NVE16226,,
NVE11219,K03038,PSMD7; 26S proteasome regulatory subunit N8
NVE3108,,
NVE9333,,
NVE4541,,
NVE454,,
NVE20961,K04377,MYC; Myc proto-oncogene protein
NVE21277,K12362,RASGRP3; RAS guanyl-releasing protein 3
NVE2023,,
NVE9208,K12825,SF3A1; splicing factor 3A subunit 1
NVE7303,,
NVE5,K18327,REXO4; RNA exonuclease 4 [EC:3.1.-.-]
NVE17893,,
NVE7054,K04266,
NVE26078,,
NVE8463,,
NVE25490,,
NVE11547,,
NVE23983,,
NVE1909,,
NVE17056,,
NVE17968,,
NVE6432,,
NVE12441,K04712,DEGS; sphingolipid 4-desaturase/C4-monooxygenase [EC:1.14.19.17 1.14.18.5]
NVE23233,,
NVE3375,K19751,"DNAAF2; dynein assembly factor 2, axonemal"
NVE18660,,
NVE3000,K02685,PRI2; DNA primase large subunit [EC:2.7.7.-]
NVE15796,,
NVE15844,,
NVE5223,K01365,CTSL; cathepsin L [EC:3.4.22.15]
NVE3799,,
NVE22838,,
NVE7032,,
NVE63,,
NVE9982,,
NVE20331,K07299,"SLC2A1; MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 1"
NVE8003,,
NVE21587,K01230,"MAN1; mannosyl-oligosaccharide alpha-1,2-mannosidase [EC:3.2.1.113]"
NVE11426,,
NVE13111,K15278,"SLC35B4; solute carrier family 35 (UDP-xylose/UDP-N-acetylglucosamine transporter), member B4"
NVE25870,,
NVE21832,,
NVE11205,K19619,TDP2; tyrosyl-DNA phosphodiesterase 2 [EC:3.1.4.-]
NVE23,K10695,RNF1_2; E3 ubiquitin-protein ligase RNF1/2 [EC:2.3.2.27]
NVE9522,K06974,amzA; archaemetzincin [EC:3.4.-.-]
NVE10061,,
NVE25259,,
NVE16949,,
NVE9519,,
NVE18245,K09441,"GABPA; GA-binding protein transcription factor, alpha"
NVE4254,K13755,"PDE1; calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase [EC:3.1.4.17]"
NVE20980,,
NVE15506,,
NVE11189,,
NVE19634,,
NVE14457,,
NVE18476,K02180,BUB3; cell cycle arrest protein BUB3
NVE24248,,
NVE1032,,
NVE22590,,
NVE14686,,
NVE15895,K14354,"SLCO4A; solute carrier organic anion transporter family, member 4A"
NVE8038,K10442,KLHL1_4_5; kelch-like protein 1/4/5
NVE23133,,
NVE10324,,
NVE537,,
NVE23940,,
NVE17377,K04150,HRH2; histamine receptor H2
NVE15462,,
NVE10604,,
NVE10316,,
NVE18096,,
NVE20715,,
NVE26151,,
NVE7811,K06093,PARD6; partitioning defective protein 6
NVE2062,,
NVE17331,,
NVE13641,K19684,CLUAP1; clusterin-associated protein 1
NVE22692,K00831,serC; phosphoserine aminotransferase [EC:2.6.1.52]
NVE13686,K18587,COQ9; ubiquinone biosynthesis protein COQ9
NVE19579,K20362,YIF1; protein transport protein YIF1
NVE23433,,
NVE21878,K00049,GRHPR; glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]
NVE2813,K08811,TSSK; testis-specific serine kinase [EC:2.7.11.1]
NVE3992,,
NVE22284,K17655,MRPP3; mitochondrial ribonuclease P protein 3
NVE2703,,
NVE18801,,
NVE8914,,
NVE5435,,
NVE18094,K00973,
NVE3474,,
NVE11978,,
NVE13597,K01173,"ENDOG; endonuclease G, mitochondrial"
NVE9416,,
NVE5082,,
NVE24275,K04923,KCNK15; potassium channel subfamily K member 15
NVE1303,K15104,"SLC25A11; solute carrier family 25 (mitochondrial oxoglutarate transporter), member 11"
NVE13602,,
NVE12952,K15731,CTDSP; carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase [EC:3.1.3.16]
NVE2297,,
NVE5471,K09366,"POU4F; POU domain transcription factor, class 4"
NVE19181,K04307,RXFP2; relaxin family peptide receptor 2
NVE11672,,
NVE2609,K01363,CTSB; cathepsin B [EC:3.4.22.1]
NVE15160,,
NVE11377,,
NVE25345,K15425,PPP4R2; serine/threonine-protein phosphatase 4 regulatory subunit 2
NVE20266,K10598,PPIL2; peptidyl-prolyl cis-trans isomerase-like 2 [EC:5.2.1.8]
NVE24842,K01338,lon; ATP-dependent Lon protease [EC:3.4.21.53]
NVE18745,,
NVE1486,,
NVE22556,,
NVE13738,,
NVE12067,,
NVE4252,,
NVE17817,K02087,CDK1; cyclin-dependent kinase 1 [EC:2.7.11.22 2.7.11.23]
NVE24140,K00789,metK; S-adenosylmethionine synthetase [EC:2.5.1.6]
NVE949,,
NVE7308,K04682,E2F4_5; transcription factor E2F4/5
NVE15504,K00461,ALOX5; arachidonate 5-lipoxygenase [EC:1.13.11.34]
NVE6898,K11830,"TFAM; transcription factor A, mitochondrial"
NVE9189,,
NVE1443,,
NVE24895,K00547,mmuM; homocysteine S-methyltransferase [EC:2.1.1.10]
NVE16209,,
NVE7187,,
NVE1935,K03253,EIF3B; translation initiation factor 3 subunit B
NVE6452,K11153,RDH12; retinol dehydrogenase 12 [EC:1.1.1.300]
NVE7846,K15605,KLF3; krueppel-like factor 3
NVE14507,,
NVE9827,,
NVE20587,K15208,SNAPC1; snRNA-activating protein complex subunit 1
NVE317,,
NVE6255,K04851,CACNA1D; voltage-dependent calcium channel L type alpha-1D
NVE3506,,
NVE23845,K12584,DCPS; m7GpppX diphosphatase [EC:3.6.1.59]
NVE7241,,
NVE18089,,
NVE8635,K08378,GPR103; G protein-coupled receptor 103
NVE3726,,
NVE5938,,
NVE25966,K14753,RACK1; guanine nucleotide-binding protein subunit beta-2-like 1 protein
NVE7435,,
NVE20968,,
NVE18067,,
NVE5513,K11170,DHRSX; dehydrogenase/reductase SDR family member X [EC:1.1.-.-]
NVE19962,,
NVE26188,K09395,FOXB; forkhead box protein B
NVE960,,
NVE4093,,
NVE23359,K05673,"ABCC4; ATP-binding cassette, subfamily C (CFTR/MRP), member 4"
NVE9823,,
NVE6211,,
NVE15136,,
NVE18703,,
NVE20081,,
NVE2992,,
NVE11535,K01080,PLPP1_2_3; phosphatidate phosphatase [EC:3.1.3.4]
NVE718,,
NVE17749,,
NVE17502,,
NVE16786,,
NVE17167,,
NVE7742,K17817,NUDT18; 8-oxo-dGDP phosphatase [EC:3.6.1.58]
NVE24166,,
NVE3473,,
NVE18223,,
NVE4879,K10875,RAD54L; DNA repair and recombination protein RAD54 and RAD54-like protein [EC:3.6.4.-]
NVE20753,,
NVE9270,,
NVE13676,K00164,OGDH; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]
NVE4979,,
NVE12724,,
NVE10638,K20189,DTNBP1; dysbindin
NVE14339,,
NVE247,K15423,PPP4C; serine/threonine-protein phosphatase 4 catalytic subunit [EC:3.1.3.16]
NVE23939,K07763,MMP14; matrix metalloproteinase-14 (membrane-inserted) [EC:3.4.24.80]
NVE1103,K09664,"B3GNT7; beta-1,3-N-acetylglucosaminyltransferase 7 [EC:2.4.1.-]"
NVE12883,K06927,DPH6; diphthine-ammonia ligase [EC:6.3.1.14]
NVE3777,,
NVE6983,,
NVE15730,K19904,
NVE15354,K09452,ARX; homeobox protein aristaless-related
NVE1309,K19328,SYT14_16; synaptotagmin-14/16
NVE25088,,
NVE21296,,
NVE23273,,
NVE1665,,
NVE12088,,
NVE3051,,
NVE21077,,
NVE22247,,
NVE22236,K21415,ANKS6; ankyrin repeat and SAM domain-containing protein 6
NVE13568,,
NVE4144,K10901,BLM; bloom syndrome protein [EC:3.6.4.12]
NVE2232,,
NVE7995,,
NVE2653,,
NVE24731,K13220,WBP4; WW domain-binding protein 4
NVE24451,,
NVE11383,,
NVE18034,,
NVE16710,,
NVE24607,,
NVE10142,,
NVE24058,,
NVE11988,K09637,TMPRSS6; transmembrane protease serine 6 [EC:3.4.21.-]
NVE19139,,
NVE18496,K15292,STXBP1; syntaxin-binding protein 1
NVE21719,,
NVE19015,,
NVE10179,K06237,"COL4A; collagen, type IV, alpha"
NVE15644,,
NVE10507,K10281,FBXL15; F-box and leucine-rich repeat protein 15
NVE23171,K01482,DDAH; dimethylargininase [EC:3.5.3.18]
NVE20144,,
NVE18002,,
NVE5936,,
NVE1571,,
NVE23991,K14708,"SLC26A11; solute carrier family 26 (sodium-independent sulfate anion transporter), member 11"
NVE14077,,
NVE10139,,
NVE23093,,
NVE9131,K05034,"SLC6A1; solute carrier family 6 (neurotransmitter transporter, GABA) member 1"
NVE6780,,
NVE12171,,
NVE6088,,
NVE23704,,
NVE15417,K19201,SUDS3; Sin3 histone deacetylase corepressor complex component SDS3
